Date,Open,High,Low,Close
09-11-2020,15479.5957,15785.13672,14865.5293,15332.31543
10-11-2020,15332.35059,15450.3291,15124.95996,15290.90234
11-11-2020,15290.90918,15916.26074,15290.00684,15701.33984
12-11-2020,15701.29883,16305.00391,15534.77148,16276.34375
13-11-2020,16276.44043,16463.17773,15992.15234,16317.80859
14-11-2020,16317.80859,16317.80859,15749.19336,16068.13867
15-11-2020,16068.13965,16123.11035,15793.53418,15955.58789
16-11-2020,15955.57715,16816.18164,15880.70606,16716.11133
17-11-2020,16685.69141,17782.91992,16564.54492,17645.40625
18-11-2020,17645.19141,18393.94922,17352.90625,17804.00586
19-11-2020,17803.86133,18119.54688,17382.55469,17817.08984
20-11-2020,17817.08398,18773.22656,17765.79492,18621.31445
21-11-2020,18621.31641,18936.62109,18444.35938,18642.23242
22-11-2020,18642.23242,18688.96875,17671.38477,18370.00195
23-11-2020,18370.01758,18711.42578,18000.79688,18364.12109
24-11-2020,18365.01563,19348.27148,18128.65625,19107.46484
25-11-2020,19104.41016,19390.96484,18581.14648,18732.12109
26-11-2020,18729.83984,18866.28516,16351.03516,17150.62305
27-11-2020,17153.91406,17445.02344,16526.42383,17108.40234
28-11-2020,17112.93359,17853.93945,16910.65234,17717.41406
29-11-2020,17719.63477,18283.62891,17559.11719,18177.48438
30-11-2020,18178.32227,19749.26367,18178.32227,19625.83594
01-12-2020,19633.76953,19845.97461,18321.92188,18802.99805
02-12-2020,18801.74414,19308.33008,18347.71875,19201.0918
03-12-2020,19205.92578,19566.19141,18925.78516,19445.39844
04-12-2020,19446.9668,19511.4043,18697.19336,18699.76563
05-12-2020,18698.38477,19160.44922,18590.19336,19154.23047
06-12-2020,19154.17969,19390.5,18897.89453,19345.12109
07-12-2020,19343.12891,19411.82813,18931.14258,19191.63086
08-12-2020,19191.5293,19283.47852,18269.94531,18321.14453
09-12-2020,18320.88477,18626.29297,17935.54688,18553.91602
10-12-2020,18553.29883,18553.29883,17957.06445,18264.99219
11-12-2020,18263.92969,18268.45313,17619.5332,18058.9043
12-12-2020,18051.32031,18919.55078,18046.04102,18803.65625
13-12-2020,18806.76563,19381.53516,18734.33203,19142.38281
14-12-2020,19144.49219,19305.09961,19012.70898,19246.64453
15-12-2020,19246.91992,19525.00781,19079.8418,19417.07617
16-12-2020,19418.81836,21458.9082,19298.31641,21310.59766
17-12-2020,21308.35156,23642.66016,21234.67578,22805.16211
18-12-2020,22806.79688,23238.60156,22399.8125,23137.96094
19-12-2020,23132.86523,24085.85547,22826.47266,23869.83203
20-12-2020,23861.76563,24209.66016,23147.71094,23477.29492
21-12-2020,23474.45508,24059.98242,22159.36719,22803.08203
22-12-2020,22794.03906,23789.90234,22430.60547,23783.0293
23-12-2020,23781.97461,24024.49023,22802.64648,23241.3457
24-12-2020,23240.20313,23768.33789,22777.59766,23735.94922
25-12-2020,23733.57031,24710.10156,23463.67383,24664.79102
26-12-2020,24677.01563,26718.07031,24522.68945,26437.03711
27-12-2020,26439.37305,28288.83984,25922.76953,26272.29492
28-12-2020,26280.82227,27389.11133,26207.64063,27084.80859
29-12-2020,27081.81055,27370.7207,25987.29883,27362.4375
30-12-2020,27360.08984,28937.74023,27360.08984,28840.95313
31-12-2020,28841.57422,29244.87695,28201.99219,29001.7207
01-01-2021,28994.00977,29600.62695,28803.58594,29374.15234
02-01-2021,29376.45508,33155.11719,29091.18164,32127.26758
03-01-2021,32129.4082,34608.55859,32052.31641,32782.02344
04-01-2021,32810.94922,33440.21875,28722.75586,31971.91406
05-01-2021,31977.04102,34437.58984,30221.1875,33992.42969
06-01-2021,34013.61328,36879.69922,33514.03516,36824.36328
07-01-2021,36833.875,40180.36719,36491.19141,39371.04297
08-01-2021,39381.76563,41946.73828,36838.63672,40797.60938
09-01-2021,40788.64063,41436.35156,38980.875,40254.54688
10-01-2021,40254.21875,41420.19141,35984.62891,38356.44141
11-01-2021,38346.53125,38346.53125,30549.59961,35566.65625
12-01-2021,35516.35938,36568.52734,32697.97656,33922.96094
13-01-2021,33915.12109,37599.96094,32584.66797,37316.35938
14-01-2021,37325.10938,39966.40625,36868.5625,39187.32813
15-01-2021,39156.70703,39577.71094,34659.58984,36825.36719
16-01-2021,36821.64844,37864.36719,35633.55469,36178.14063
17-01-2021,36163.64844,36722.35156,34069.32031,35791.27734
18-01-2021,35792.23828,37299.28516,34883.84375,36630.07422
19-01-2021,36642.23438,37755.89063,36069.80469,36069.80469
20-01-2021,36050.11328,36378.32813,33570.47656,35547.75
21-01-2021,35549.39844,35552.67969,30250.75,30825.69922
22-01-2021,30817.625,33811.85156,28953.37305,33005.76172
23-01-2021,32985.75781,33360.97656,31493.16016,32067.64258
24-01-2021,32064.37695,32944.00781,31106.68555,32289.37891
